traceroute to www.ungs.edu.ar (104.27.160.200), 64 hops max
  1   192.168.0.1 (192.168.0.1)  0,004ms  0,005ms  0,004ms 
  2   *  *  * 
  3   *  *  * 
  4   *  *  * 
 42   192.168.0.1 (192.168.0.1)  0,004ms  0,005ms  0,002ms 
 43   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,003ms 
 44   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 45   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 46   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 47   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 48   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 49   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 50   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,002ms 
 51   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,001ms 
 52   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 53   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 54   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 55   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 56   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 57   192.168.0.1 (192.168.0.1)  0,002ms  2,071ms  0,003ms 
 58   192.168.0.1 (192.168.0.1)  3,561ms  0,004ms  0,003ms 
 59   192.168.0.1 (192.168.0.1)  0,003ms  0,006ms  0,002ms 
 60   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 61   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 62   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 63   192.168.0.1 (192.168.0.1)  2,151ms  0,002ms  0,004ms 
 64   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms

 
traceroute to www.u-tokyo.ac.jp (210.152.135.178), 64 hops max
  1   192.168.0.1 (192.168.0.1)  0,004ms  0,004ms  0,002ms 
  2   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms 
  3   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,003ms 
  4   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
  5   192.168.0.1 (192.168.0.1)  0,003ms  0,002ms  0,003ms 
  6   192.168.0.1 (192.168.0.1)  0,012ms  0,003ms  0,004ms 
  7   192.168.0.1 (192.168.0.1)  0,003ms  0,004ms  0,002ms 
  8   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
  9   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 10   192.168.0.1 (192.168.0.1)  0,009ms  0,003ms  0,003ms 
 11   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 12   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 13   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 14   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 15   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 16   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 17   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 18   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 19   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 20   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 21   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 22   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 23   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,002ms 
 24   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms 
 25   192.168.0.1 (192.168.0.1)  0,002ms  0,005ms  0,002ms 
 26   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 27   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,003ms 
 28   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 29   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 30   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 31   192.168.0.1 (192.168.0.1)  0,002ms  0,004ms  0,003ms 
 32   192.168.0.1 (192.168.0.1)  0,004ms  0,003ms  0,004ms 
 33   192.168.0.1 (192.168.0.1)  0,003ms  0,013ms  0,002ms 
 34   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 35   192.168.0.1 (192.168.0.1)  0,011ms  0,003ms  0,003ms 
 36   192.168.0.1 (192.168.0.1)  0,004ms  0,002ms  0,002ms 
 37   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 38   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 39   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 40   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 41   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 42   192.168.0.1 (192.168.0.1)  0,127ms  0,002ms  0,003ms 
 43   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,003ms 
 44   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
 45   192.168.0.1 (192.168.0.1)  0,002ms  0,002ms  0,003ms 
 46   192.168.0.1 (192.168.0.1)  0,003ms  0,003ms  0,002ms 
 47   192.168.0.1 (192.168.0.1)  0,002ms  0,003ms  0,002ms 
